Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.304,-9.688054084777832,-5.5047135353088379,0.38094702363014221,-121.27989196777344,-10.727209091186523,-1.5624854564666748,0.58264780044555664,-110.248291015625,0
30.308,-9.0103054046630859,-4.5089178085327148,0.072439111769199371,-118.93526458740234,-10.230977058410645,-2.1257858276367188,0.51097089052200317,-108.76340484619141,0
30.312,-10.438433647155762,-3.9450995922088623,-0.80504405498504639,-117.013427734375,-9.9802017211914062,-2.7489166259765625,0.25389590859413147,-106.14444732666016,0
30.316,-9.1341524124145508,-2.2249603271484375,-1.266265869140625,-116.78957366943359,-9.9902935028076172,-3.1149578094482422,0.0077001852914690971,-105.05495452880859,0
30.32,-8.2548675537109375,-1.0287387371063232,-1.6734393835067749,-116.85813903808594,-10.039769172668457,-3.4666919708251953,-0.38139605522155762,-105.00132751464844,0
30.324,-7.1656789779663086,-0.44723933935165405,-2.0396595001220703,-118.92863464355469,-10.14813232421875,-3.7259407043457031,-0.72639739513397217,-106.14011383056641,0
30.328,-3.7853336334228516,0.57272815704345703,-1.7197768688201904,-120.79985046386719,-9.8959255218505859,-3.7308058738708496,-0.81049138307571411,-108.357177734375,0
30.332,-3.5618209838867188,0.040383867919445038,-1.8656415939331055,-121.5748291015625,-9.592681884765625,-3.9179694652557373,-0.95497864484786987,-109.24095153808594,0
30.336,-2.2556114196777344,-0.11889052391052246,-1.8562619686126709,-121.78774261474609,-9.4490022659301758,-4.2059822082519531,-1.1276826858520508,-110.3331298828125,0
30.34,-2.6284034252166748,-0.96537065505981445,-2.0246787071228027,-120.17971038818359,-9.2819185256958008,-4.5969152450561523,-1.4216934442520142,-110.46475982666016,0
30.344,-3.550706148147583,-2.0774414539337158,-2.2165012359619141,-119.153564453125,-9.142979621887207,-4.7879905700683594,-1.5838327407836914,-110.30043792724609,0
30.348,-2.1986770629882812,-1.9569807052612305,-1.6557300090789795,-117.82656097412109,-8.7267026901245117,-4.5897588729858398,-1.4426208734512329,-110.93125152587891,0
30.352,-2.9408485889434814,-2.1717948913574219,-1.2108417749404907,-116.42111968994141,-8.0569210052490234,-4.2532768249511719,-1.1706027984619141,-110.83123779296875,0
30.356,-1.3225307464599609,-0.95375710725784302,-0.17604891955852509,-115.48545837402344,-7.0465216636657715,-3.6770904064178467,-0.63457566499710083,-111.74379730224609,0
30.36,-1.3415056467056274,-0.2898368239402771,0.55509346723556519,-113.39225769042969,-6.0484299659729004,-3.4757130146026611,-0.40867823362350464,-112.43502044677734,0
30.364,-2.6977977752685547,-0.34317278861999512,0.78426247835159302,-113.15745544433594,-5.6106367111206055,-3.6917350292205811,-0.55233973264694214,-113.72946929931641,0
30.368,-1.9834287166595459,0.37307700514793396,1.4694570302963257,-114.34355163574219,-5.2325234413146973,-3.8069469928741455,-0.6061517596244812,-116.74092864990234,0
30.372,-3.3230564594268799,0.053293097764253616,1.7170206308364868,-116.04831695556641,-4.8577103614807129,-3.9586691856384277,-0.64544802904129028,-119.33335113525391,0
30.376,-2.5418295860290527,0.44585633277893066,2.2866802215576172,-117.74550628662109,-4.3779206275939941,-4.0062828063964844,-0.52170372009277344,-122.29610443115234,0
30.38,-3.2795727252960205,0.14843361079692841,2.6195061206817627,-117.76274108886719,-3.7948844432830811,-4.1074051856994629,-0.46354931592941284,-123.59018707275391,0
30.384,-5.0902237892150879,-0.60974442958831787,2.3760905265808105,-118.62459564208984,-3.6056327819824219,-4.2513442039489746,-0.49274244904518127,-123.52752685546875,0
30.388,-5.0978760719299316,-0.4870116114616394,2.1869499683380127,-119.22198486328125,-3.6353805065155029,-4.3833189010620117,-0.53356599807739258,-123.13503265380859,0
30.392,-7.4897804260253906,-1.4496238231658936,1.1712665557861328,-119.49910736083984,-4.0350217819213867,-4.806452751159668,-0.89128637313842773,-121.27531433105469,0
30.396,-7.7165017127990723,-1.7774060964584351,0.20810635387897491,-120.32405853271484,-4.6698555946350098,-5.2920417785644531,-1.3928741216659546,-120.78780364990234,0
30.4,-9.3337736129760742,-2.9057879447937012,-1.0152273178100586,-120.29799652099609,-5.2754874229431152,-5.9687857627868652,-2.1349887847900391,-121.03269195556641,0
